Code,Title,Credits,AH,SE,SS,ACGH,DD,OL,QL,SL,VL,WC,WE,Desc
EEC 222,"RF IC Design",4,,,,,,,,,,,,"Lecture-3 hour(s); Discussion-1 hour(s). Prerequisite(s): EEC 210. Radio frequency (RF) solid-state devices, RF device modeling and design rules; non-linear RF circuit design techniques; use of non-linear computer-aided CAD) tools; RF power amplifier design."
EEC 223,"RF Integrated Circuits for Wireless Communications",4,,,,,,,,,,,,"Lecture-3 hour(s); Project (Term Project). Prerequisite(s): EEC 132A; EEC 112. Integrated RF front end circuit design of receivers and synthesizers for wireless communications, such as LNA, mixers, PLL; noise and linearity analysis and specifications; theory and working mechanism of synthesizers and phase noise analysis."
EEC 224,"Terahertz & mm-Wave Integrated Circuit Design",4,,,,,,,,,,,,"Lecture-3 hour(s); Project (Term Project). Prerequisite(s): EEC 132A; EEC 112; or Consent of Instructor. Fundamental theory of RF transmitter and receiver, including noise analysis, transceiver architectures, and antenna arrays. Fundamental limitations, theory and design of amplifiers, oscillators and signal sources at THz and mm-wave frequencies"
EEC 228,"Advanced Microwave Circuit & Device Design Techniques",4,,,,,,,,,,,,"Lecture-3 hour(s); Laboratory-3 hour(s). Prerequisite(s): EEC 132B. Theory, design, fabrication, analysis of advanced microwave circuits and devices. Wideband transformers, stripline/microstripline broadband couplers. Lumped and distributed filter synthesis. Broadband matching theory applied to microwave devices. Wideband and low noise FET/HEMT amplifiers. Advanced microwave oscillator theory. Phase noise analysis."
EEC 229,"RF-MEMS & Adaptive Wireless Frontends",4,,,,,,,,,,,,"Lecture-3 hour(s); Discussion-1 hour(s). Prerequisite(s): EEC 130A. Focuses on the modeling, design, fabrication, and characterization of RF-MEMS while providing a thorough introduction to the technology with an emphasis on how it will benefit the design of adaptive RF/microwave wireless systems."
EEC 230,"Electromagnetics",4,,,,,,,,,,,,"Lecture-3 hour(s); Discussion-1 hour(s). Prerequisite(s): EEC 130B. Maxwell's equations, plane waves, reflection and refraction, complex waves, waveguides, resonant cavities, and basic antennas."
EEC 231A,"Plasma Physics & Controlled Fusion I",4,,,,,,,,,,,,"Lecture-4 hour(s). Graduate Standing in Engineering or Consent of Instructor. Equilibrium plasma properties; single particle motion; fluid equations; waves & instabilities in a fluid plasma; plasma kinetic theory & transport coefficients; linear & nonlinear Vlasov theory; fluctuations, correlations & radiation; inertial & magnetic confinement systems in controlled fusion."
EEC 231B,"Plasma Physics & Controlled Fusion II",4,,,,,,,,,,,,"Lecture-4 hour(s). Prerequisite(s): EEC 231A; or Consent of Instructor. Equilibrium plasma properties; single particle motion; fluid equations; waves & instabilities in a fluid plasma; plasma kinetic theory & transport coefficients; linear & nonlinear Vlasov theory; fluctuations, correlations & radiation; inertial & magnetic confinement systems in controlled fusion."
EEC 231C,"Plasma Physics & Controlled Fusion III",4,,,,,,,,,,,,"Lecture-4 hour(s). Prerequisite(s): EEC 231B; or Consent of Instructor. Equilibrium plasma properties; single particle motion; fluid equations; waves & instabilities in a fluid plasma; plasma kinetic theory & transport coefficients; linear & nonlinear Vlasov theory; fluctuations, correlations & radiation; inertial & magnetic confinement systems in controlled fusion."
EEC 232A,"Advanced Applied Electromagnetics I",4,,,,,,,,,,,,"Lecture-4 hour(s). Prerequisite(s): EEC 132B or EEC 230. The exact formulation of applied electromagnetic problems using Green's functions. Applications of these techniques to transmission circuits."
EEC 232B,"Advanced Applied Electromagnetics II",4,,,,,,,,,,,,"Lecture-3 hour(s); Laboratory-3 hour(s). Prerequisite(s): EEC 132B. An advanced treatment of electromagnetics with applications to passive microwave devices and antennas."
EEC 233,"High Speed Signal Integrity",4,,,,,,,,,,,,"Lecture-3 hour(s); Discussion-1 hour(s). Prerequisite(s): EEC 130B. Design and analysis of interconnects in highspeed circuits and sub-systems; understanding of high-speed signal propagation and signal integrity concepts; electromagnetic modeling tools and experimental techniques."
EEC 234A,"Physics & Technology of Microwave Vacuum Electron Beam Devices I",4,,,,,,,,,,,,"Lecture-4 hour(s). Prerequisite(s): B.S. degree in physics or engineering or the equivalent background or consent of instructor. Physics & technology of electron beam emission, flow and transport, electron gun design, space charge waves & klystrons with applications to accelerator systems, RF power sources for radar & communication systems, thermionic energy conversion, and electric space propulsion. Recent advances in materials & manufacturing technologies are also reviewed."
EEC 234B,"Physics & Technology of Microwave Vacuum Electron Beam Devices II",4,,,,,,,,,,,,"Lecture-4 hour(s). Prerequisite(s): EEC 234A; or Consent of Instructor. Theory, modeling, & experimental design of traveling wave tubes, backward wave oscillators, and extended interaction oscillators employed in satellite commutations, plasma imaging, and underground imaging systems."
EEC 234C,"Physics & Technology of Microwave Vacuum Electron Beam Devices III",4,,,,,,,,,,,,"Lecture-4 hour(s). Prerequisite(s): EEC 234B; or Consent of Instructor. Physics & technology of gyrotrons, gyroamplifiers, free electron lasers, magnetrons, cross-field amplifiers, and relativistic devices employed in plasma fusion reactors, microwave heating, and high power microwave applications."
EEC 235,"Photonics",4,,,,,,,,,,,,"Lecture-3 hour(s); Project (Term Project). Prerequisite(s): EEC 130B; EEC 230 recommended. Optical propagation of electromagnetic waves and beams in photonic components and the design of such devices using numerical techniques."
EEC 236,"Nonlinear Optical Applications",3,,,,,,,,,,,,"Lecture-3 hour(s). Prerequisite(s): EEC 130B; EEC 230 (can be concurrent). Nonlinear optical interactions in optical communication, optical information processing and integrated optics. Basic concepts underlying optical nonlinear interactions in materials and guided media. Not open for credit to students who have completed EEC"
EEC 237A,"Lasers",3,,,,,,,,,,,,"Lecture-3 hour(s). Prerequisite(s): EEC 235; EEC 130B; Or the equivalent of EEC 130B. Theoretical and practical description of lasers. Theory of population inversion, amplification and oscillation using semiclassical oscillator model and rate equations. Description and design of real laser system. Not open for credit to students who have completed EEC 226A."
EEC 237B,"Laser Physics II",4,,,,,,,,,,,,"Lecture-3 hour(s); Extensive Problem Solving. Prerequisite(s): EEC 237A or EAD 265A. Oscillation threshold. Coupled cavity/atomic rate equations, Linear pulse propagation; dispersion, broadening, compression. Nonlinear pulse propagation. Energy extraction. Optical beams, resonators, eigenmodes, axial/transverse modes. Paraxial ray optics, resonator stability, ABCD matrices. Laser dynamics; transients, spiking, Q-switching, active and passive modelocking. Not open for credit to students who have completed EEC 226B."
EEC 238,"Semiconductor Lasers & Photonic Integration",4,,,,,,,,,,,,"Lecture-4 hour(s). Prerequisite(s): EEC 140A. Understanding of fundamental optical transitions in semiconductors and quantum-confined systems are applied to diode & unipolar lasers and selected photonic devices. The importance of radiative and non-radiative recombination, simulated emission, excitons in quantum wells, and strained quantum layers are considered. Photonic integrated circuits based on active (with optical gain) and passive (without optical gain)."
EEC 239A,"Optical Communication Technologies for High-Speed Data Networking",4,,,,,,,,,,,,"Lecture-4 hour(s). Prerequisite(s): EEC 130B. Enabling technologies for optical fiber communication and data center networks. Physical layer issues for component and system technologies in high-speed data optical communications. High-capacity data multiplexing technologies including wavelength-division-multiplexing, timedivision-multiplexing, and advanced coherent modulation. Optical signal transmission, optical amplification, and optical switching for telecom and data center networks."
EEC 239B,"High-Capacity Optical Data Systems & Networks",4,,,,,,,,,,,,"Lecture-4 hour(s). Prerequisite(s): EEC 239A. High-capacity optical data systems and networks, built-on modern optical communication technologies. Technologies behind data center networking, software defined networking, and RF-optical networking. Physical layer issues in light of networking architectures and protocols. Optical communications systems design and integration. Systems technologies and higher-level network architecture, case studies. WDM, TDM, and EON networking, optical and wireless access technologies based on PON and ROF."
EEC 240,"Semiconductor Device Physics",3,,,,,,,,,,,,"Lecture-3 hour(s). Prerequisite(s): EEC 140B. Physical principles, characteristics and models of fundamental semiconductor device types, including P-N and Schottky diodes, MOSFETs and MESFETs Bipolar Junction Transistors, and light emitters/detectors."
EEC 241,"Introduction to Molecular Electronics",4,,,,,,,,,,,,"Lecture/Discussion-4 hour(s). Prerequisite(s): Consent of Instructor. Examines molecules for electronic devices and sensors. Covers: electronic states of molecules, charge transport in nanoscale systems, and fabrication and measurement of molecular-scale devices. Specific Topics: Hartree-Fock & Density Functional Theory, Landauer formalism, coulomb blockade, tunneling and hopping transport."
EEC 242,"Advanced Nanostructured Devices",3,,,,,,,,,,,,"Lecture-3 hour(s). Prerequisite(s): EEC 130A; EEC 140A. Physics of nano-structured materials and device operation. Overview of new devices enabled by nanotechnology; fabrication and characterization methods; applications of nano-structures and devices."
EEC 243,"Optical Imaging & Microscopy",4,,,,,,,,,,,,"Lecture-3 hour(s); Discussion-1 hour(s). Prerequisite(s): PHY 009B; EEC130AB recommended. Theory and techniques of optical imaging & microscopy. Fourier optics; light propagation & light detection; imaging contrast mechanisms; optical & microscopy techniques."
EEC 244A,"Design of Microelectromechanical Systems",MEMS,,,,,,,,,,,,"(3) Lecture-3 hour(s). Prerequisite(s): EEC 140A; EEC 140B; or Consent of Instructor. Theory and practice of MEMS design. Micromechanical fundamentals, CAD tools, and case studies. A MEMS design project is required. Designs will be fabricated in a commercial foundry and tested in EEC 244B."
EEC 244B,"Microsciences",4,,,,,,,,,,,,"Lecture/Discussion-4 hour(s). Introduction to the theory of physical and chemical principles at the microscale. Scale effects, surface tension, microfluidic mechanics, micromechanical properties, intermolecular interactions and micro tribology. (Same course as BIM 218.)"
EEC 245,"Micro- & Nano-Technology in Life Sciences",4,,,,,,,,,,,,"Lecture/Discussion-4 hour(s). Prerequisite(s): Graduate standing or consent of instructor. Survey of biodevice design from engineering and biological perspectives; micro-/nano-fabrication techniques; surface science and mass transport; essential biological processes and models; proposal development skills on merging aforementioned themes. (Same course as ECH 245, EMS 245, MAE 245.)"
EEC 246,"Advanced Projects in IC Fabrication",3,,,,,,,,,,,,"Review all entries Discussion-1 hour(s); Laboratory-6 hour(s). Prerequisite(s): EEC 146B. Individualized projects in the fabrication of analog or digital integrated circuits."
EEC 246,"Advanced Projects in IC Fabrication",4,,,,,,,,,,,,"Review all entries Discussion-1 hour(s); Laboratory-9 hour(s). Prerequisite(s): EEC 146B. Individualized projects in the fabrication of analog or digital integrated electronic or optoelectronic circuits."
EEC 247,"Advanced Semiconductor Devices",4,,,,,,,,,,,,"Lecture-3 hour(s); Project (Term Project). Prerequisite(s): Graduate standing in Engineering. Semiconductor devices, including MOSFETs, heterojunction transistors, light-emitting diodes, lasers, sensors, detectors, power and high-voltage transistors, MEMS resonators, organic semiconductors and photovoltaics. All material is from recent literature, encouraging students to utilize search methods and critically assess the latest research."
EEC 248,"Photovoltaics & Solar Cells",3,,,,,,,,,,,,"Lecture-3 hour(s). Prerequisite(s): EEC 140B; or Consent of Instructor. Or equivalent. Physics and application of photovoltaics and solar cells, including design, fabrication technology, and grid incorporation. Mono and microcrystalline silicon devices; thin-film technologies, heterojunction and organic-semiconductor technologies. Collectors, electrical inverters and infrastructure issues. Challenges and concerns. (Same course as EMS 246.)"
EEC 249,"Nanofabrication",4,,,,,,,,,,,,"Lecture-3 hour(s); Discussion-1 hour(s). Prerequisite(s): Graduate standing in Engineering. Theory and practice of nanofabrication (top-down and bottom-up approaches), used for producing integrated circuits, electronic devices, sensors, and microstructures. Process development and characterization."
EEC 250,"Linear Systems & Signals",4,,,,,,,,,,,,"Lecture-4 hour(s). Prerequisite(s): EEC 150A. Mathematical description of systems. Selected topics in linear algebra. Solution of the state equations and an analysis of stability, controllability, observability, realizations, state feedback and state estimation. Discrete-time signals and systems, and the Z-transform."
EEC 251,"Nonlinear Systems",4,,,,,,,,,,,,"Lecture-4 hour(s). Prerequisite(s): EEC 250. Nonlinear differential equations, second-order systems, approximation methods, bifurcations, Lyapunov stability, absolute stability, Popov criterion, circle criterion, slidingmode control, feedback linearization techniques."
EEC 252,"Multivariable Control System Design",4,,,,,,,,,,,,"Lecture-4 hour(s). Prerequisite(s): EEC 250. Review of single-loop feedback design. Stability, performance and robustness of multi-input multi-output control systems. H-infinity design. Frequency response methods. Optimization-based design. Algebraic design methods for uncertain systems."
EEC 254,"Optimization",3,,,,,,,,,,,,"Lecture-3 hour(s). Prerequisite(s): MAT 022A; Knowledge of FORTRAN or C. Modeling optimization problems in engineering design and other applications; optimality conditions; unconstrained optimization (gradient, Newton, conjugate gradient and quasi-Newton methods); duality and Lagrangian relaxation constrained optimization. Primal method and an introduction to penalty and augmented Lagrangian methods.)"
EEC 255,"Robotic Systems",3,,,,,,,,,,,,"Lecture-3 hour(s). Introduction to robotic systems. Mechanical manipulators, kinematics, manipulator positioning and path planning. Dynamics of manipulators. Robot motion programming and control algorithm design."
EEC 256,"Stochastic Optimization in Dynamic Systems",4,,,,,,,,,,,,"Lecture-4 hour(s). Prerequisite(s): EEC 260; Or the equivalent. Markov Decision Processes (MDP), dynamic programming, multi-armed bandit, Partially observable MDP, optimal stopping, stochastic scheduling, sequential detection and quickest change detection, competitive MDP and game theory, applications in dynamic systems such as queueing networks, communication systems, and multi-agent systems."
EEC 260,"Random Signals & Noise",4,,,,,,,,,,,,"Lecture-3 hour(s); Discussion-1 hour(s). Prerequisite(s): EEC 150A; EEC 161. Random processes as probabilistic models for signals and noise. Probability and random variables, Convergence and limit theorems, Specification of random processes, Markov Chains, Wiener process and white Gaussian noise, Poisson process and shot noise, Processing and frequency analysis of random signals."
EEC 261,"Signal Processing for Communications",4,,,,,,,,,,,,"Lecture-4 hour(s). Prerequisite(s): EEC 165; EEC 260; or Consent of Instructor. Signal processing in wireless and wireline communication systems. Characterization and distortion of wireless and wireline channels. Channel equalization and maximum likelihood sequence estimation. Channel precoding and pre-equalization. OFDM and transmit diversity. Array processing."
EEC 262,"Multi-access Communications Theory",4,,,,,,,,,,,,"Lecture-3 hour(s); Project (Term Project). Prerequisite(s): (EEC 173A or ECS 152A); STA 120; Or equivalent of STA Maximum stable throughput of Poisson collision channels. Classic collision resolution algorithms. Carrier sensing multiple access and its performance analysis. System stability analysis. Joint design of the physical/ medium access control layers. Capacity region of multi-access channels. Multi-access with correlated sources."
EEC 263,"Optimal & Adaptive Filtering",4,,,,,,,,,,,,"Lecture-3 hour(s); Discussion-1 hour(s). Prerequisite(s): EEC 260. Geometric formulation of least-squares estimation problems. Theory and applications of optimum Wiener and Kalman filtering. MAP and maximum likelihood estimation of hidden Markov models, Viterbi algorithm. Adaptive filtering algorithms, properties and applications."
EEC 264,"Estimation & Detection of Signals in Noise",4,,,,,,,,,,,,"Lecture-3 hour(s); Discussion-1 hour(s). Prerequisite(s): EEC 260. Introduction to parameter estimation and detections of signals in noise. Bayes and Neyman-Pearson likelihood-ratio tests for signal detection. Maximumlikelihood parameter estimation. Detection of known and Gaussian signals in white or colored noise. Applications to communications, radar, signal processing."
EEC 265,"Principles of Digital Communications",4,,,,,,,,,,,,"Lecture-4 hour(s). Prerequisite(s): EEC 165; EEC 260; or Consent of Instructor. Introduction to digital communications. Coding for analog sources. Characterization of signals and systems. Modulation and demodulation for the additive Gaussian channel. Digital signaling over bandwidth-constrained linear filter channels and over fading multipath channels. Spread spectrum signals."
EEC 266,"Information Theory & Coding",4,,,,,,,,,,,,"Lecture-3 hour(s); Project (Term Project). Prerequisite(s): EEC 161. Topics include Entropy, Relatively Entropy, Mutual Information; Asymptotic Equipartition Property; Entropy Rates of Stochastic Process; Data Compression; Channel Capacity; Differential Entropy; Gaussian Channel; Rate Distortion Theory; Network Information Theory."
EEC 267,"Mobile Communications",4,,,,,,,,,,,,"Lecture/Lab-3 hour(s). Prerequisite(s): EEC 260; EEC 265 (can be concurrent). Time-varying multi-path fading channel models and receiver performance in fading channels; multiple access techniques and multiple access receivers design and performance; optimum design and the capacity of wireless channels."
EEC 269A,"Error Correcting Codes I",3,,,,,,,,,,,,"Lecture-3 hour(s). Prerequisite(s): MAT 022A; EEC 160. Introduction to the theory and practice of block codes, linear block codes, cyclic codes, decoding algorithms, coding techniques."
EEC 269B,"Error Correcting Codes II",3,,,,,,,,,,,,"Lecture-3 hour(s). Prerequisite(s): EEC 165; EEC 269A. Introduction to convolutional codes, turbo codes, trellis and block coded modulation codes,soft-decision decoding algorithms, the Viterbi algorithm,reliability-based decoding, trellis-based decoding, multistage decoding."
EEC 270,"Computer Architecture",3,,,,,,,,,,,,"Review all entries Lecture-3 hour(s). Prerequisite(s): EEC 170 or ECS 154B. Introduction to modern techniques for high-performance single and multiple processor systems. Topics include advanced pipeline design, advanced memory hierarchy design, optimizing pipeline and memory use, and memory sharing among multiprocessors. Case studies of recent single and multiple processor systems."
EEC 270,"Computer Architecture",4,,,,,,,,,,,,"Review all entries Lecture-3 hour(s); Discussion-1 hour(s). Prerequisite(s): EEC 170 or ECS 154B. Introduction to modern techniques for high-performance single and multiple processor systems. Topics include advanced pipeline design, advanced memory hierarchy design, optimizing pipeline and memory use, and memory sharing among multiprocessors. Case studies of recent single and multiple processor systems."
EEC 272,"High-Performance Computer Architecture",4,,,,,,,,,,,,"Lecture-4 hour(s). Prerequisite(s): EEC 270 or ECS 201A. Designing and analysis of high performance computer architecture with emphasis on vector processing, on-chip interconnect networks, chip-level multiprocessors, memory and storage subsystem design and impact of technological advances on computer architecture."
EEC 273,"Networking Architecture & Resource Management",4,,,,,,,,,,,,"Lecture-3 hour(s); Project (Term Project). Prerequisite(s): ECS 152A or EEC 173A. Pass One and Pass Two only open to Graduate Students in Computer Science and Electrical & Computer Engineering. Design & implementation principles of networking architecture and protocols. Internet, data center, and telephony case studies. Topics: Internet data & control planes; application & services; resource management; Quality of Service QoS) provisioning; traffic engineering; performance evaluation, software-defined networks, & future research issues."
EEC 274,"Internet Measurements & Network Interference",4,,,,,,,,,,,,"Lecture-3 hour(s); Project (Term Project). Prerequisite(s): EEC 173A or ECS 152A. Internet measurements and network inference, covering the entire data pipeline from data collection, analysis, modeling, to design of datadriven novel/intelligent networked systems. Operational networks: Internet backbone, cellular networks, edge networks, software-defined networks and network function virtualization, data center networks, cloud infrastructure, peer-to-peer and content distribution networks, online social networks, and networked Internet-ofthings (IoTs)."
EEC 276,"Fault-Tolerant Computer Systems: Design & Analysis",4,,,,,,,,,,,,"Lecture-3 hour(s); Discussion-1 hour(s). Prerequisite(s): EEC 170; EEC 018. Introduces fault-tolerant digital system theory and practice. Covers recent and classic fault-tolerant techniques based on hardware redundancy, time redundancy, information redundancy, and software redundancy. Examines hardware and software reliability analysis, and example fault-tolerant designs."
EEC 277,"Graphics Architecture",3,,,,,,,,,,,,"Lecture-3 hour(s). Prerequisite(s): (ECS 154B or EEC 170); ECS 175. Design and analysis of the architecture of computer graphics systems. Topics include the graphics pipeline with a concentration on hardware technqiues and algorithms, exploiting parallelism in graphics, and case studies of noteworthy and modern graphics arhitectures."
EEC 279,"Modern Parallel Computing",4,,,,,,,,,,,,"Lecture-3 hour(s); Project (Term Project). Prerequisite(s): ECS 036B or ECS 034; EEC 170 or ECS 154A recommended. Exploration of the architecture of modern parallel computers, their programming models, and their programming systems."
EEC 281,"VLSI Digital Signal Processing",4,,,,,,,,,,,,"Lecture-3 hour(s); Project (Term Project). Prerequisite(s): EEC 150B; EEC 170; (EEC 180 or EEC 180B); or Consent of Instructor. Digital signal processors, building blocks, and algorithms. Design and implementation of processor algorithms, architectures, control, functional units, and circuit topologies for increased performance and reduced circuit size and power dissipation."
EEC 283,"Advanced Design Verification of Digital Systems",4,,,,,,,,,,,,"Lecture-3 hour(s); Project (Term Project)-1 hour(s). Prerequisite(s): EEC 170; (EEC 018 or EEC 180A). Design verification techniques for digital systems; simulation-based design verification techniques; formal verification techniques, including equivalence checking, model checking, and theorem proving; timing analysis and verification; application of design cerification techniques to microprocessors."
EEC 284,"Design & Optimization of Embedded Computing Systems",4,,,,,,,,,,,,"Lecture-4 hour(s). Prerequisite(s): EEC 170; (EEC 180 or EEC 180B); or Consent of Instructor. ECS 122A recommended. Introduction to design and optimization of digital computing systems for embedded applications. Topics include combinatorial optimization techniques, performance and energy optimization in embedded systems, compilation and architecture-specific mapping, programmable and reconfigurable platforms; design automation and algorithmic improvements to design process."
EEC 286,"Introduction to Digital System Testing",4,,,,,,,,,,,,"Lecture-3 hour(s); Project (Term Project). Prerequisite(s): EEC 018. Review of several current techniques used to detect physical faults in both combinational and sequential circuits. Topics include fault modeling, fault simulation, test generation, compression techniques, and testing architectures."
EEC 289A,"Special Topics in Electrical & Computer Engineering: Computer Science",1-5,,,,,,,,,,,,"Lecture/Lab-1-5 hour(s). Prerequisite(s): Consent of Instructor. Special topics in Computer Science. May be repeated for credit when topic differs."
EEC 289B,"Special Topics in Electrical & Computer Engineering: Programming Systems",1-5,,,,,,,,,,,,"Lecture/Lab-1-5 hour(s). Prerequisite(s): Consent of Instructor. Special topics in Programming Systems. May be repeated for credit when topic differs."
EEC 289C,"Special Topics in Electrical & Computer Engineering: Digital Systems",1-5,,,,,,,,,,,,"Lecture/Lab-1-5 hour(s). Prerequisite(s): Consent of Instructor. Special topics in Digital Systems. May be repeated for credit when topic differs."
EEC 289D,"Special Topics in Electrical & Computer Engineering: Digital Systems",1-5,,,,,,,,,,,,"Lecture/Lab-1-5 hour(s). Prerequisite(s): Consent of Instructor. Special topics in Digital Systems. May be repeated for credit when topic differs."
EEC 289E,"Special Topics in Electrical & Computer Engineering: Signal Transmission",1-5,,,,,,,,,,,,"Lecture/Lab-1-5 hour(s). Prerequisite(s): Consent of Instructor. Special topics in Signal Transmission. May be repeated for credit when topic differs."
EEC 289F,"Special Topics in Electrical & Computer Engineering: Digital Communication",1-5,,,,,,,,,,,,"Lecture/Lab-1-5 hour(s). Prerequisite(s): Consent of Instructor. Special topics in Digital Communication. May be repeated for credit when topic differs."
EEC 289G,"Special Topics in Electrical & Computer Engineering: Control Systems",1-5,,,,,,,,,,,,"Lecture/Lab-1-5 hour(s). Prerequisite(s): Consent of Instructor. Special topics in Control Systems. May be repeated for credit when topic differs."
EEC 289H,"Special Topics in Electrical & Computer Engineering: Robotics",1-5,,,,,,,,,,,,"Lecture/Lab-1-5 hour(s). Prerequisite(s): Consent of Instructor. Special topics in Robotics. May be repeated for credit when topic differs."
EEC 289I,"Special Topics in Electrical & Computer Engineering: Signal Processing",1-5,,,,,,,,,,,,"Lecture/Lab-1-5 hour(s). Prerequisite(s): Consent of Instructor. Special topics in Signal Processing. May be repeated for credit when topic differs."
EEC 289J,"Special Topics in Electrical & Computer Engineering: Image Processing",1-5,,,,,,,,,,,,"Lecture/Lab-1-5 hour(s). Prerequisite(s): Consent of Instructor. Special topics in Image Processing. May be repeated for credit when topic differs."
EEC 289K,"Special Topics in Electrical & Computer Engineering: High Frequency Phenomena & Devices",1-5,,,,,,,,,,,,"Lecture/Lab-1-5 hour(s). Prerequisite(s): Consent of Instructor. Special topics in High Frequency Phenomena & Devices. May be repeated for credit when topic differs."
EEC 289L,"Special Topics in Electrical & Computer Engineering: Solid-State Devices & Physical Electronics",1-5,,,,,,,,,,,,"Lecture/Lab-1-5 hour(s). Prerequisite(s): Consent of Instructor. Special topics in Solid-State Devices & Physical Electronics. May be repeated for credit when topic differs."
EEC 289M,"Special Topics in Electrical & Computer Engineering: Systems Theory",1-5,,,,,,,,,,,,"Lecture/Lab-1-5 hour(s). Prerequisite(s): Consent of Instructor. Special topics in Systems Theory. May be repeated for credit when topic differs."
EEC 289N,"Special Topics in Electrical & Computer Engineering: Active & Passive Circuits",1-5,,,,,,,,,,,,"Lecture/Lab-1-5 hour(s). Prerequisite(s): Consent of Instructor. Special topics in Active & Passive Circuits. May be repeated for credit when topic differs."
EEC 289O,"Special Topics in Electrical & Computer Engineering: Integrated Circuits",1-5,,,,,,,,,,,,"Lecture/Lab-1-5 hour(s). Prerequisite(s): Consent of Instructor. Special topics in Integrated Circuits. May be repeated for credit when topic differs."
EEC 289P,"Special Topics in Electrical & Computer Engineering: Computer Software",1-5,,,,,,,,,,,,"Lecture/Lab-1-5 hour(s). Prerequisite(s): Consent of Instructor. Special topics in Computer Software. May be repeated for credit when topic differs."
EEC 289Q,"Special Topics in Electrical & Computer Engineering: Computer Engineering",1-5,,,,,,,,,,,,"Lecture/Lab-1-5 hour(s). Prerequisite(s): Consent of Instructor. Special topics in Computer Engineering. May be repeated for credit when topic differs."
EEC 289R,"Special Topics in Electrical & Computer Engineering: Microprocessing",1-5,,,,,,,,,,,,"Lecture/Lab-1-5 hour(s). Prerequisite(s): Consent of Instructor. Special topics in Microprocessing. May be repeated for credit when topic differs."
EEC 289S,"Special Topics in Electrical & Computer Engineering: Electronics",1-5,,,,,,,,,,,,"Lecture/Lab-1-5 hour(s). Prerequisite(s): Consent of Instructor. Special topics in Electronics. May be repeated for credit when topic differs."
EEC 289T,"Special Topics in Electrical & Computer Engineering: Electromagnetics",1-5,,,,,,,,,,,,"Lecture/Lab-1-5 hour(s). Prerequisite(s): Consent of Instructor. Special topics in Electromagnetics. May be repeated for credit when topic differs."
EEC 289U,"Special Topics in Electrical & Computer Engineering: Optoelectronics",1-5,,,,,,,,,,,,"Lecture/Lab-1-5 hour(s). Prerequisite(s): Consent of Instructor. Special topics in Optoelectronics. May be repeated for credit when topic differs."
EEC 289W,"Special Topics in Electrical Engineering & Computer Science: Computer Networks",1-5,,,,,,,,,,,,"Lecture/Lab-1-5 hour(s). Prerequisite(s): Consent of Instructor. Special topics in Computer Networks. May be repeated for credit when topic differs."
EEC 290,"Seminar in Electrical & Computer Engineering",1,,,,,,,,,,,,"Seminar-1 hour(s). Discussion and presentation of current research and development in Electrical & Computer Engineering. May be repeated for credit. (S/U grading only.)"
EEC 290C,"Graduate Research Group Conference in Electrical & Computer Engineering",1,,,,,,,,,,,,"Discussion-1 hour(s). Prerequisite(s): Consent of Instructor. Research problems, progress, and techniques in electrical and computer engineering. May be repeated for credit. (S/U grading only.)"
EEC 290P,"Capstone Project For MS Plan II",4,,,,,,,,,,,,"Term Paper; Lecture-1 hour(s); Extensive Problem Solving. Prerequisite(s): Consent of Instructor. Conducting research projects in electrical and computer engineering. Communicating research results in written reports and oral presentations. Systemic project implementation to answer a comprehensive scientific or technical question in the area of electrical and computer engineering. (S/U grading only.)"
EEC 291,"Solid-State Circuit Research Laboratory Seminar",1,,,,,,,,,,,,"Seminar-1 hour(s). Prerequisite(s): Graduate standing. Lectures on solid-state circuit and system design by various visiting experts in the field. May be repeated for credit. (S/U grading only.)"
EEC 292,"Seminar in Solid-State Technology",1,,,,,,,,,,,,"Seminar-1 hour(s). Prerequisite(s): Graduate standing. Lectures on solid-state technology by various visiting experts in the field. May be repeated for credit. (S/U grading only.)"
EEC 293,"Computer Engineering Research Seminar",1,,,,,,,,,,,,"Seminar-1 hour(s). Prerequisite(s): Graduate standing or consent of instructor. Lectures, tutorials and seminars on topics in computer engineering. May be repeated up to 4 time(s). (S/U grading only.)"
EEC 294,"Communications, Signal & Image Processing Seminar",1,,,,,,,,,,,,"Seminar-1 hour(s). Prerequisite(s): Graduate standing. Communications, signal and image processing, video engineering and computer vision. May be repeated for credit. (S/U grading only.)"
EEC 295,"Systems, Control & Robotics Seminar",1,,,,,,,,,,,,"Seminar-1 hour(s). Prerequisite(s): Graduate standing. Seminars on current research in systems and control by faculty and visiting experts. Technical presentations and lectures on current topics in robotics research and robotics technology. May be repeated for credit. (S/U grading only.)"
EEC 296,"Photonics Research Seminar",1,,,,,,,,,,,,"Seminar-1 hour(s). Prerequisite(s): Graduate standing. Lectures on photonics and related areas by faculty and visiting experts. May be repeated for credit. (S/U grading only.)"
EEC 298,"Group Study",1-5,,,,,,,,,,,,"Variable. Prerequisite(s): Consent of Instructor. (S/U grading only.)"
EEC 299,"Research",1-12,,,,,,,,,,,,"Variable. (S/U grading only.)"
EEC 390,"The Teaching of Electrical Engineering",1,,,,,,,,,,,,"Discussion-1 hour(s). Prerequisite(s): Meet qualifications for teaching assistant and/or associate-in in Electrical Engineering. Participation as a teaching assistant or associate-in in a designated engineering course. Methods of leading discussion groups or laboratory sections, writing and grading quizzes, use of laboratory equipment, and grading laboratory reports. May be repeated for credit. (S/U grading only.)"
